base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
28206,昌北机场交警对面景观塔,28.844553,115.904313,6,0,4,0,0,0,3,1,0,3,0,20,0,19
28207,昌北机场交警对面景观塔,28.84454,115.9043,6,0,4,0,0,0,3,1,0,3,0,21,0,19
28208,昌北机场空管局对面景观塔(3DMIMO),28.855462,115.910142,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28209,昌北机场空管局对面景观塔,28.85542,115.910075,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28210,昌北机场空管局对面景观塔,28.855455,115.910183,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28211,昌北机场空管局对面景观塔,28.85542,115.910075,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28212,昌北机场空管局对面景观塔(3DMIMO),28.855462,115.910142,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28213,昌北机场空管局对面景观塔(3DMIMO),28.855462,115.910142,3,0,0,0,0,0,0,0,0,0,0,1,0,0
28214,临空开发区黄堂东街与嘉和一路交叉口景观塔,28.82157,115.942108,5,0,16,0,3,0,0,1,0,0,0,0,1,0
28215,临空开发区黄堂东街与嘉和一路交叉口景观塔,28.82157,115.942108,5,0,16,0,3,0,0,1,0,0,0,0,1,0
28216,临空开发区黄堂东街与嘉和一路交叉口景观塔,28.82157,115.942108,5,0,16,0,3,0,0,1,0,0,0,0,1,0
28217,临空区坛山二路与竹埠四路交界景观塔,28.83126,115.93063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28218,临空区坛山二路与竹埠四路交界景观塔,28.831263,115.93063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28219,临空区坛山四路与竹埠四路交界景观塔,28.83156,115.92637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28220,临空区坛山四路与竹埠四路交界景观塔,28.831563,115.92637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28221,洪城路洪防宾馆(3DMIMO),28.6585,115.87582,33,3,30,11,15,0,10,14,11,21,0,8,6,13
28222,洪城路洪防宾馆,28.65856,115.87571,34,3,30,12,15,0,10,14,9,21,0,8,8,14
28223,洪城路洪防宾馆,28.65856,115.87571,34,3,30,12,15,0,10,14,9,21,0,8,8,14
28224,洪城路洪防宾馆,28.658603,115.875813,34,3,29,12,15,0,10,14,9,22,0,8,7,14
28225,洪城路洪防宾馆(3DMIMO),28.6585,115.87582,33,3,30,11,15,0,10,14,11,21,0,8,6,13
28226,洪城路洪防宾馆(3DMIMO),28.6585,115.87582,33,3,30,11,15,0,10,14,11,21,0,8,6,13
28227,鹤纪摄影(3DMIMO),28.679015,115.891475,29,41,10,15,24,12,0,123,30,244,16,39,5,209
28228,鹤纪摄影,28.67897,115.89135,30,42,10,14,26,12,0,127,28,242,16,38,5,217
28229,鹤纪摄影,28.67874,115.89143,30,42,10,15,25,14,0,126,28,241,17,39,5,217
28230,鹤纪摄影,28.67874,115.89143,30,42,10,15,25,14,0,126,28,241,17,39,5,217
