region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
50,115.993484646,28.368801251249998,0.0818,0.0251,0.0826,0.0273,0.0237,0.0811,0.0474,0.181,0.0826,0.205,0.0129,0.0144,0,0.135
51,116.034002358,28.368801251249998,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0
52,116.07452007,28.368801251249998,0.0232,0.00774,0.119,0.0297,0.00903,0,0.0387,0.13,0.11,0.474,0,0.00903,0.0103,0.04
53,116.115037782,28.368801251249998,0.0727,0,0.333,0,0,0.0476,0.155,0.148,0.0476,0.13,0,0.0276,0,0.0376
54,116.155555494,28.368801251249998,0.0464,0,0.503,0,0,0,0,0.0464,0,0.331,0.0728,0,0,0
55,116.19607320600001,28.368801251249998,0.0939,0,0.225,0.0547,0.00533,0,0.0397,0.0949,0.0155,0.324,0.00145,0,0.0252,0.12
56,116.236590918,28.368801251249998,0.0442,0.00974,0.0563,0.0396,0.0188,0.00164,0.0347,0.132,0.039,0.403,0.00495,0.0122,0.0141,0.189
57,116.27710863,28.368801251249998,0.0425,0.0131,0.0285,0.0525,0.0117,0.00347,0.0107,0.134,0.0502,0.394,0.00917,0.0197,0.0154,0.216
58,116.31762634200001,28.368801251249998,0.667,0,0,0,0,0,0,0,0,0.333,0,0,0,0
59,116.35814405400001,28.368801251249998,0,0,0.229,0.171,0,0,0.0857,0,0,0.343,0,0,0,0.171
60,115.588307526,28.40036525575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,115.62882523799999,28.40036525575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,115.66934295,28.40036525575,0.182,0,0,0.0909,0,0,0,0.273,0.182,0.182,0,0,0,0.0909
63,115.709860662,28.40036525575,0.0455,0,0,0,0,0,0,0.136,0.136,0.5,0,0,0,0.182
64,115.750378374,28.40036525575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,115.790896086,28.40036525575,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,115.831413798,28.40036525575,0.785,0,0.215,0,0,0,0,0,0,0,0,0,0,0
67,115.87193151,28.40036525575,0,0,0.101,0.0698,0,0.24,0,0.171,0.109,0.31,0,0,0,0
68,115.912449222,28.40036525575,0.124,0,0.124,0.0303,0,0,0.176,0,0.0303,0.158,0,0.0697,0,0.288
69,115.952966934,28.40036525575,0.185,0,0.203,0,0.0705,0,0.0352,0.0573,0.273,0.176,0,0,0,0
70,115.993484646,28.40036525575,0.156,0.0204,0.238,0,0,0.0952,0.122,0.109,0.0204,0.184,0,0,0,0.0544
71,116.034002358,28.40036525575,0.192,0,0.212,0,0,0,0.0769,0.212,0.0769,0.231,0,0,0,0
72,116.07452007,28.40036525575,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,116.115037782,28.40036525575,0,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0
74,116.155555494,28.40036525575,0.0323,0,0,0.0645,0,0,0,0.0645,0,0.645,0,0.0645,0.0323,0.0968
75,116.19607320600001,28.40036525575,0.0655,0,0.754,0,0.0476,0,0.0556,0.00595,0.0397,0.0317,0,0,0,0
76,116.236590918,28.40036525575,0.043,0.00939,0.0916,0.0269,0.0464,0.00401,0.0355,0.135,0.0312,0.355,0.00159,0.0128,0.0105,0.197
77,116.27710863,28.40036525575,0.0208,0.0764,0.139,0,0,0,0,0.104,0.111,0.458,0,0,0,0.0903
78,116.31762634200001,28.40036525575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,116.35814405400001,28.40036525575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,115.588307526,28.431929260249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,115.62882523799999,28.431929260249998,0.0476,0,0.0238,0.119,0.0238,0,0,0.167,0,0.571,0,0,0,0.0476
82,115.66934295,28.431929260249998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,115.709860662,28.431929260249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,115.750378374,28.431929260249998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,115.790896086,28.431929260249998,0.417,0.104,0.0312,0,0,0,0.104,0.208,0.0312,0,0,0,0,0.104
86,115.831413798,28.431929260249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,115.87193151,28.431929260249998,0.134,0.0145,0.0323,0.029,0,0,0.00891,0.139,0.088,0.363,0,0.0145,0.0724,0.105
88,115.912449222,28.431929260249998,0.0973,0.0112,0.128,0.0144,0.0112,0,0.112,0.0542,0.0367,0.309,0,0,0,0.226
89,115.952966934,28.431929260249998,0.0253,0.0145,0.0568,0.0536,0.0187,0.00362,0.0176,0.147,0.0378,0.356,0.00212,0.0291,0.0218,0.217
90,115.993484646,28.431929260249998,0.105,0,0.248,0,0.0204,0,0.146,0.172,0.0554,0.125,0,0.0408,0,0.0875
91,116.034002358,28.431929260249998,0,0,0.321,0,0,0.0357,0,0,0.643,0,0,0,0,0
92,116.07452007,28.431929260249998,0.0232,0.00248,0.048,0.0927,0,0.00248,0.0281,0.0306,0.0447,0.479,0,0.0281,0.0281,0.192
93,116.115037782,28.431929260249998,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,116.155555494,28.431929260249998,0.0518,0,0,0,0,0.155,0,0.131,0,0.534,0,0,0.0159,0.112
95,116.19607320600001,28.431929260249998,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,116.236590918,28.431929260249998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,116.27710863,28.431929260249998,0.0833,0.133,0,0,0,0,0,0.333,0,0.45,0,0,0,0
98,116.31762634200001,28.431929260249998,0,0,0,0,0,0,0,0,0.1,0,0,0.9,0,0
99,116.35814405400001,28.431929260249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,115.588307526,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,115.62882523799999,28.46349326475,0.0792,0.0158,0.0633,0.0158,0.0158,0,0.0132,0.0923,0.0158,0.388,0,0.0317,0.0158,0.253
102,115.66934295,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,115.709860662,28.46349326475,0.0562,0,0,0.0843,0,0,0,0.166,0,0.393,0,0,0.0843,0.215
104,115.750378374,28.46349326475,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,115.790896086,28.46349326475,0.0508,0,0,0,0,0,0,0.305,0,0.153,0,0.153,0,0.339
106,115.831413798,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,115.87193151,28.46349326475,0.262,0,0.0952,0,0,0,0,0,0.524,0.119,0,0,0,0
108,115.912449222,28.46349326475,0.103,0,0.205,0.0229,0.0129,0.00117,0.11,0.0739,0.027,0.29,0.0041,0,0.0111,0.14
109,115.952966934,28.46349326475,0.0688,0.0129,0.037,0.000925,0.0537,0.00314,0.0339,0.145,0.168,0.0695,0.00749,0.0269,0.00841,0.364
110,115.993484646,28.46349326475,0.429,0,0.571,0,0,0,0,0,0,0,0,0,0,0
111,116.034002358,28.46349326475,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,116.07452007,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,116.115037782,28.46349326475,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,116.155555494,28.46349326475,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,116.19607320600001,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116.236590918,28.46349326475,0.111,0,0.444,0,0,0,0.222,0,0,0.222,0,0,0,0
117,116.27710863,28.46349326475,0.0784,0.0392,0.0784,0.0784,0,0,0,0.118,0.0588,0.471,0,0,0,0.0784
118,116.31762634200001,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,116.35814405400001,28.46349326475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,115.588307526,28.49505726925,0.9,0,0,0,0,0,0,0,0.1,0,0,0,0,0
121,115.62882523799999,28.49505726925,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,115.66934295,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,115.709860662,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,115.750378374,28.49505726925,0.144,0.0493,0.0164,0.00616,0.111,0,0.115,0.129,0.0472,0.101,0.0493,0.0801,0.0246,0.127
125,115.790896086,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,115.831413798,28.49505726925,0,0,0.188,0.188,0,0,0,0,0,0.625,0,0,0,0
127,115.87193151,28.49505726925,0.128,0.0174,0.564,0,0.0174,0.0174,0,0.0988,0.093,0.0174,0,0,0,0.0465
128,115.912449222,28.49505726925,0.0736,0.0222,0.104,0.00616,0.00678,0.00216,0.0339,0.142,0.166,0.184,0.0163,0.0213,0,0.222
129,115.952966934,28.49505726925,0.0332,0.00524,0.0642,0,0.0131,0.00366,0.0532,0.0678,0.101,0.0972,0.0102,0.0309,0.0017,0.518
130,115.993484646,28.49505726925,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
131,116.034002358,28.49505726925,0.289,0,0.0703,0.0703,0,0,0,0.0469,0.227,0.297,0,0,0,0
132,116.07452007,28.49505726925,0.228,0,0.045,0.048,0,0,0,0.228,0.0631,0.267,0,0,0.036,0.0841
133,116.115037782,28.49505726925,0.214,0,0.0357,0,0,0.0357,0,0.0714,0.107,0.25,0,0,0,0.286
134,116.155555494,28.49505726925,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,116.19607320600001,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,116.236590918,28.49505726925,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,116.27710863,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,116.31762634200001,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,116.35814405400001,28.49505726925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,115.588307526,28.52662127375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,115.62882523799999,28.52662127375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,115.66934295,28.52662127375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,115.709860662,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,115.750378374,28.52662127375,0.4,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0
145,115.790896086,28.52662127375,0,0,0.732,0,0,0,0,0,0.268,0,0,0,0,0
146,115.831413798,28.52662127375,0.135,0,0.14,0,0,0,0.149,0.312,0.0698,0.0465,0,0,0,0.149
147,115.87193151,28.52662127375,0.0567,0.00304,0.549,0.00786,0.0142,0.0066,0.0448,0.0776,0.0317,0.117,0.00241,0,0.00634,0.0823
148,115.912449222,28.52662127375,0.0552,0.0123,0.0867,0.0284,0.0291,0.00453,0.108,0.135,0.0478,0.24,0.0164,0.00897,0.00421,0.223
149,115.952966934,28.52662127375,0.0573,0.0143,0.053,0.0336,0.0489,0.00626,0.0671,0.145,0.0598,0.3,0.01,0.0125,0.00375,0.189
150,115.993484646,28.52662127375,0.049,0.0098,0.118,0.066,0,0,0.0455,0.129,0.0383,0.271,0.00357,0.00847,0.00624,0.255
151,116.034002358,28.52662127375,0.318,0.0122,0.0571,0.0245,0,0.0286,0.159,0.0898,0.0653,0.208,0,0,0,0.0367
152,116.07452007,28.52662127375,0.125,0,0.292,0,0,0.208,0,0,0.25,0,0.125,0,0,0
153,116.115037782,28.52662127375,0.0811,0,0,0,0,0.108,0,0.811,0,0,0,0,0,0
154,116.155555494,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,116.19607320600001,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,116.236590918,28.52662127375,0.0194,0.0111,0.0111,0.1,0,0,0.00833,0.133,0,0.45,0,0.0333,0.0667,0.167
157,116.27710863,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,116.31762634200001,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,116.35814405400001,28.52662127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,115.588307526,28.55818527825,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
161,115.62882523799999,28.55818527825,0.0321,0.0355,0.0534,0.0688,0,0.00941,0.0188,0.134,0.0778,0.366,0,0.0124,0.0231,0.168
162,115.66934295,28.55818527825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,115.709860662,28.55818527825,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0
164,115.750378374,28.55818527825,0.421,0,0.368,0,0,0,0,0,0.211,0,0,0,0,0
165,115.790896086,28.55818527825,0.0487,0.0108,0.0288,0.0382,0.0442,0.00533,0.0254,0.0899,0.0401,0.527,0.0016,0.013,0.0064,0.121
166,115.831413798,28.55818527825,0.101,0.00648,0.0329,0.0153,0.081,0.0208,0.00694,0.18,0.0551,0.258,0,0,0.00509,0.237
167,115.87193151,28.55818527825,0.0449,0.0103,0.356,0.0146,0.0171,0.00122,0.0407,0.153,0.0522,0.176,0.00982,0.0104,0.00297,0.111
168,115.912449222,28.55818527825,0.0589,0.0123,0.0733,0.0366,0.036,0.00294,0.057,0.155,0.0575,0.274,0.0125,0.0168,0.0231,0.184
169,115.952966934,28.55818527825,0.0417,0.0128,0.035,0.0431,0.0189,0.00241,0.0115,0.144,0.0404,0.396,0.0123,0.0169,0.0212,0.204
170,115.993484646,28.55818527825,0.0536,0,0.554,0.0625,0.058,0.0536,0,0.156,0,0.0625,0,0,0,0
171,116.034002358,28.55818527825,0.0651,0,0.216,0.0651,0,0,0.0651,0.0651,0.0674,0.293,0,0,0.0326,0.13
172,116.07452007,28.55818527825,0.114,0.0196,0.0696,0.0214,0,0.0161,0,0.129,0.0607,0.391,0,0,0.0357,0.143
173,116.115037782,28.55818527825,0.462,0,0,0,0,0,0,0,0.231,0.308,0,0,0,0
174,116.155555494,28.55818527825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,116.19607320600001,28.55818527825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,116.236590918,28.55818527825,0,0,0,0,0,0,0,0,1,0,0,0,0,0
177,116.27710863,28.55818527825,0,0.0783,0,0.0391,0,0,0,0.157,0,0.598,0,0,0.0391,0.089
178,116.31762634200001,28.55818527825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,116.35814405400001,28.55818527825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,115.588307526,28.58974928275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,115.62882523799999,28.58974928275,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,115.66934295,28.58974928275,0.0325,0,0.0898,0.0369,0,0,0.102,0.128,0.0495,0.365,0,0.0451,0.0194,0.131
183,115.709860662,28.58974928275,0,0,0,0,0.571,0,0,0,0,0.429,0,0,0,0
184,115.750378374,28.58974928275,0.0345,0,0.241,0,0.121,0,0,0.0776,0.414,0.112,0,0,0,0
185,115.790896086,28.58974928275,0.0865,0.0487,0.0473,0.0231,0.0413,0.0234,0.0246,0.13,0.047,0.284,0.0345,0.031,0.0115,0.167
186,115.831413798,28.58974928275,0.0494,0.00781,0.125,0.0203,0.0689,0.00331,0.0419,0.169,0.0365,0.278,0.00562,0.0289,0.00189,0.164
187,115.87193151,28.58974928275,0.0429,0.0146,0.0278,0.0487,0.0206,0.000728,0.0229,0.172,0.0675,0.265,0.0143,0.0291,0.0098,0.264
188,115.912449222,28.58974928275,0.0627,0.0145,0.0679,0.0356,0.0376,0.00655,0.112,0.143,0.0542,0.27,0.0112,0.0188,0.00764,0.158
189,115.952966934,28.58974928275,0.0284,0.00324,0.238,0.0251,0.0221,0.0104,0.0761,0.0953,0.0357,0.289,0.00904,0.00311,0.00143,0.163
190,115.993484646,28.58974928275,0.0725,0.0278,0.261,0.0193,0.00154,0.0393,0.0617,0.064,0.0879,0.192,0.017,0.00386,0.000771,0.152
191,116.034002358,28.58974928275,0.333,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333
192,116.07452007,28.58974928275,0.346,0.173,0.115,0,0,0.308,0,0,0.0577,0,0,0,0,0
193,116.115037782,28.58974928275,0.29,0.058,0.159,0.0435,0.058,0.0435,0,0,0.0942,0.087,0,0.0435,0,0.123
194,116.155555494,28.58974928275,0.13,0.00571,0.0314,0.0571,0,0,0.041,0.0952,0.0352,0.487,0,0.000952,0.0152,0.102
195,116.19607320600001,28.58974928275,0.341,0.159,0,0,0,0,0,0,0.182,0.159,0,0,0,0.159
196,116.236590918,28.58974928275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,116.27710863,28.58974928275,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,116.31762634200001,28.58974928275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,116.35814405400001,28.58974928275,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,115.588307526,28.62131328725,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
201,115.62882523799999,28.62131328725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,115.66934295,28.62131328725,0.406,0.0145,0.174,0.159,0,0,0,0.087,0.159,0,0,0,0,0
203,115.709860662,28.62131328725,0.0503,0.0129,0.0948,0.0147,0.0315,0.00111,0.293,0.111,0.0201,0.188,0.00417,0.00278,0.00444,0.172
204,115.750378374,28.62131328725,0.0294,0.00835,0.0232,0.0208,0.0298,0.00127,0.0202,0.134,0.106,0.204,0.0165,0.0297,0.00723,0.369
205,115.790896086,28.62131328725,0.15,0.0031,0.0842,0.0267,0.0379,0.00421,0.0451,0.119,0.0315,0.166,0.0116,0.112,0.0103,0.198
206,115.831413798,28.62131328725,0.0336,0.00368,0.0348,0.0146,0.013,0.00167,0.0151,0.0745,0.0236,0.689,0.00937,0.00597,0.00516,0.076
207,115.87193151,28.62131328725,0.0617,0.0159,0.0379,0.0439,0.0227,0.00804,0.0374,0.15,0.0674,0.297,0.0192,0.0336,0.0117,0.193
208,115.912449222,28.62131328725,0.0546,0.0102,0.0995,0.0383,0.0368,0.00325,0.0639,0.12,0.0388,0.322,0.00759,0.0227,0.0206,0.162
209,115.952966934,28.62131328725,0.0403,0.00359,0.232,0.0256,0.0329,0.00437,0.0658,0.106,0.0449,0.259,0.0027,0.00518,0.00419,0.174
210,115.993484646,28.62131328725,0.037,0.00291,0.182,0.0324,0.0354,0.00383,0.0507,0.129,0.0465,0.32,0.00299,0.00152,0.011,0.144
211,116.034002358,28.62131328725,0.107,0.0156,0.178,0.0212,0,0.01,0,0.101,0.115,0.242,0,0.0245,0,0.185
212,116.07452007,28.62131328725,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,116.115037782,28.62131328725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,116.155555494,28.62131328725,0.511,0,0,0.0222,0,0,0,0.267,0.133,0.0667,0,0,0,0
215,116.19607320600001,28.62131328725,0.543,0,0.0857,0,0,0,0,0.143,0,0.229,0,0,0,0
216,116.236590918,28.62131328725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,116.27710863,28.62131328725,0.0141,0.0196,0.0268,0.0459,0,0.0158,0.00454,0.0662,0.0303,0.24,0,0.0499,0.0153,0.472
218,116.31762634200001,28.62131328725,0,0.0264,0,0,0.0208,0,0.0208,0.0321,0,0.183,0,0.149,0.0208,0.547
219,116.35814405400001,28.62131328725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,115.588307526,28.65287729175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,115.62882523799999,28.65287729175,0.571,0,0.0714,0,0,0,0,0.0714,0,0,0,0,0,0.286
222,115.66934295,28.65287729175,0.123,0,0.17,0,0.0849,0.0566,0,0.0566,0.0566,0.396,0,0,0,0.0566
223,115.709860662,28.65287729175,0.00934,0.01,0.0699,0.0199,0.044,0.00542,0.00214,0.0385,0.0945,0.104,0.00626,0.093,0.0113,0.491
224,115.750378374,28.65287729175,0.0566,0.00746,0.215,0.0155,0.033,0.00324,0.0435,0.0825,0.0402,0.346,0.00992,0.0123,0.0056,0.129
225,115.790896086,28.65287729175,0.0481,0.00439,0.0552,0.0178,0.0431,0.013,0.0216,0.108,0.244,0.121,0.0191,0.00862,0.0149,0.281
226,115.831413798,28.65287729175,0.0977,0.0162,0.109,0.0352,0.0284,0.00928,0.0343,0.128,0.0786,0.189,0.0314,0.028,0.0155,0.199
227,115.87193151,28.65287729175,0.0626,0.00853,0.0918,0.0255,0.0339,0.0028,0.0391,0.13,0.0244,0.408,0.00695,0.019,0.0157,0.131
228,115.912449222,28.65287729175,0.0703,0.0125,0.0697,0.0368,0.0379,0.0071,0.034,0.126,0.0413,0.316,0.00909,0.0403,0.0171,0.183
229,115.952966934,28.65287729175,0.033,0.0154,0.0847,0.0247,0.0261,0.00457,0.0638,0.112,0.0452,0.379,0.0129,0.0199,0.00784,0.171
230,115.993484646,28.65287729175,0.0411,0.00992,0.132,0.0409,0.0388,0.00296,0.0348,0.139,0.073,0.29,0.00734,0.0111,0.0145,0.164
231,116.034002358,28.65287729175,0.104,0.00714,0.09,0.0343,0.0257,0.02,0.0371,0.0357,0.123,0.346,0.0486,0,0,0.129
232,116.07452007,28.65287729175,0.207,0.0221,0.0373,0.00829,0.171,0.0221,0.087,0.119,0.0387,0.221,0.00552,0.0152,0,0.0456
233,116.115037782,28.65287729175,0.016,0.00691,0.0246,0.0795,0,0,0.0276,0.16,0.0354,0.352,0.00691,0.00691,0.0138,0.27
234,116.155555494,28.65287729175,0.0958,0,0,0.131,0.0239,0,0.0718,0.0718,0.0803,0.289,0.00986,0,0.0592,0.168
235,116.19607320600001,28.65287729175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,116.236590918,28.65287729175,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,116.27710863,28.65287729175,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
238,116.31762634200001,28.65287729175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,116.35814405400001,28.65287729175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,115.588307526,28.68444129625,0.421,0,0,0,0,0,0,0,0.579,0,0,0,0,0
